PassengerId,Survived,Pclass,Sex,Age
1,0,3,male,22
2,1,1,female,38
3,1,3,female,26
4,1,1,female,35
5,0,3,male,35
7,0,1,male,54
8,0,3,male,2
9,1,3,female,27
10,1,2,female,14
11,1,3,female,4
12,1,1,female,58
13,0,3,male,20
14,0,3,male,39
15,0,3,female,14
16,1,2,female,55
17,0,3,male,2
19,0,3,female,31
21,0,2,male,35
22,1,2,male,34
23,1,3,female,15
24,1,1,male,28
25,0,3,female,8
26,1,3,female,38
28,0,1,male,19
31,0,1,male,40
34,0,2,male,66
35,0,1,male,28
36,0,1,male,42
38,0,3,male,21
39,0,3,female,18
40,1,3,female,14
41,0,3,female,40
42,0,2,female,27
44,1,2,female,3
45,1,3,female,19
50,0,3,female,18
51,0,3,male,7
52,0,3,male,21
53,1,1,female,49
54,1,2,female,29
55,0,1,male,65
57,1,2,female,21
58,0,3,male,28.5
59,1,2,female,5
60,0,3,male,11
61,0,3,male,22
62,1,1,female,38
63,0,1,male,45
64,0,3,male,4
67,1,2,female,29
68,0,3,male,19
69,1,3,female,17
70,0,3,male,26
71,0,2,male,32
72,0,3,female,16
73,0,2,male,21
74,0,3,male,26
75,1,3,male,32
76,0,3,male,25
79,1,2,male,0.83
80,1,3,female,30
81,0,3,male,22
82,1,3,male,29
84,0,1,male,28
85,1,2,female,17
86,1,3,female,33
87,0,3,male,16
89,1,1,female,23
90,0,3,male,24
91,0,3,male,29
92,0,3,male,20
93,0,1,male,46
94,0,3,male,26
95,0,3,male,59
97,0,1,male,71
98,1,1,male,23
99,1,2,female,34
100,0,2,male,34
101,0,3,female,28
103,0,1,male,21
104,0,3,male,33
105,0,3,male,37
106,0,3,male,28
107,1,3,female,21
109,0,3,male,38
111,0,1,male,47
112,0,3,female,14.5
113,0,3,male,22
114,0,3,female,20
115,0,3,female,17
116,0,3,male,21
117,0,3,male,70.5
118,0,2,male,29
119,0,1,male,24
120,0,3,female,2
121,0,2,male,21
123,0,2,male,32.5
124,1,2,female,32.5
125,0,1,male,54
126,1,3,male,12
128,1,3,male,24
130,0,3,male,45
131,0,3,male,33
132,0,3,male,20
133,0,3,female,47
134,1,2,female,29
135,0,2,male,25
136,0,2,male,23
137,1,1,female,19
138,0,1,male,37
139,0,3,male,16
140,0,1,male,24
142,1,3,female,22
143,1,3,female,24
144,0,3,male,19
145,0,2,male,18
146,0,2,male,19
147,1,3,male,27
148,0,3,female,9
149,0,2,male,36.5
150,0,2,male,42
151,0,2,male,51
152,1,1,female,22
153,0,3,male,55.5
154,0,3,male,40.5
156,0,1,male,51
157,1,3,female,16
158,0,3,male,30
161,0,3,male,44
162,1,2,female,40
163,0,3,male,26
164,0,3,male,17
165,0,3,male,1
166,1,3,male,9
168,0,3,female,45
170,0,3,male,28
171,0,1,male,61
172,0,3,male,4
173,1,3,female,1
174,0,3,male,21
175,0,1,male,56
176,0,3,male,18
178,0,1,female,50
179,0,2,male,30
180,0,3,male,36
183,0,3,male,9
184,1,2,male,1
185,1,3,female,4
188,1,1,male,45
189,0,3,male,40
190,0,3,male,36
191,1,2,female,32
192,0,2,male,19
193,1,3,female,19
194,1,2,male,3
195,1,1,female,44
196,1,1,female,58
198,0,3,male,42
200,0,2,female,24
201,0,3,male,28
203,0,3,male,34
204,0,3,male,45.5
205,1,3,male,18
206,0,3,female,2
207,0,3,male,32
208,1,3,male,26
209,1,3,female,16
210,1,1,male,40
211,0,3,male,24
212,1,2,female,35
213,0,3,male,22
214,0,2,male,30
216,1,1,female,31
217,1,3,female,27
218,0,2,male,42
219,1,1,female,32
220,0,2,male,30
221,1,3,male,16
